county,disputed_votes,party,registered_voters,rejected_votes,reported_poll_stations,total_poll_stations,valid_votes,votes_count,votes_percent,winner_name
BARINGO,5,KANU,232258,3922,838,892,178605,109778,61.46,GIDEON KIPSIELEI TOWETT MOI
BOMET,1,JP,322012,5088,724,728,262024,138198,52.74,CHRISTOPHER ANDREW LANGAT
BUNGOMA,482,FORD-KENYA,559850,7786,1151,1186,407967,287371,70.44,MOSES MASIKA WETANGULA
BUSIA,477,ODM,351048,5926,752,760,271444,137477,50.65,SITSWILA AMOS WAKO
ELGEYO/MARAKWET,6,JP,180664,1571,517,529,143235,114894,80.21,ONESIMUS KIPCHUMBA MURKOMEN
EMBU,22,JP,309468,1728,161,710,56586,39900,70.51,PETER NJERU NDWIGA
GARISSA,15,JP,163350,2599,347,381,103073,41195,39.97,MOHAMED YUSUF HAJI
HOMA BAY,8,ODM,476875,6947,991,1062,374060,305351,81.63,MOSES OTIENO KAJWANG
ISIOLO,2,PDR,75338,1082,181,195,49745,13949,28.04,DULLO FATUMA ADAN
KAJIADO,88,JP,411193,5503,748,797,306264,161414,52.7,PHILLIP SALAU MPAAYEI
KAKAMEGA,11,ANC,743736,15406,1457,1497,535022,223588,41.79,CLEOPHAS WAKHUNGU MALALAH
KERICHO,0,JP,375668,2702,747,780,289590,267424,92.35,AARON KIPKIRUI CHERUIYOT
KIAMBU,19,JP,1180920,11703,1909,1963,954339,713404,74.75,WAMATANGI PAUL KIMANI
KILIFI,24,ODM,508068,5216,951,988,313258,200749,64.08,STEWART MWACHIRU SHADRACK MADZAYO
KIRINYAGA,0,JP,349836,198,29,659,11879,6152,51.79,DANIEL KARABA DICKSON
KISII,1,ODM,546580,9460,1083,1126,389180,178011,45.74,SAMSON KEGENGO ONGERI
KISUMU,9,ODM,539210,3374,991,1027,421217,349118,82.88,FREDRICK OTIENO OUTA
KITUI,24,WDM-K,474512,6197,1389,1454,343042,240872,70.22,ENOCH KIIO WAMBUA
KWALE,3,ODM,281041,2641,576,612,172695,70396,40.76,ISSA JUMA BOY
LAIKIPIA,19,JP,246487,1761,530,531,198008,144905,73.18,JOHN KINYUA NDERITU
LAMU,46,WDM-K,69776,1103,165,167,48528,14359,29.59,HASSAN ABDALLA ALBEITY
MACHAKOS,9,CCU,620254,10114,1287,1332,451996,158026,34.96,BONIFACE MUTINDA KABAKA
MAKUENI,18,WDM-K,423310,7313,1032,1060,322056,310644,96.46,MUTULA KILONZO JUNIOR
MANDERA,8,JP,175642,3138,366,401,124702,66227,53.11,MOHAMED MAALIM MAHAMUD
MARSABIT,6,JP,141708,3123,363,384,104567,53319,50.99,GODANA HARGURA
MERU,0,JP,702480,12415,1437,1473,527752,301125,57.06,FRANKLIN MITHIKA LINTURI
MIGORI,5,ODM,388633,5144,789,826,305216,178751,58.57,BEN OLUOCH OKELLO
MOMBASA,40,ODM,580223,8960,908,934,329971,167443,50.74,MOHAMED FAKI MWINYIHAJI
MURANG'A,4,JP,587126,9527,1130,1131,506268,279000,55.11,IRUNGU KANG'ATA
NAIROBI CITY,1111,JP,2250853,28910,3263,3378,1572801,805122,51.19,JOHNSON ARTHUR SAKAJA
NAKURU,55,JP,949618,11359,1724,1806,715973,641533,89.6,SUSAN WAKARURA KIHIKA
NANDI,50,JP,346007,5276,773,796,260773,241080,92.45,CHERARKEY K SAMSON
NAROK,0,ODM,341730,5106,723,750,271039,119563,44.11,LEDAMA OLE KINA
NYAMIRA,5,ODM,278853,12129,524,553,193486,73801,38.14,ERICK OKONGO MOGENI
NYANDARUA,3,JP,335634,4152,642,654,282296,255583,90.54,PAUL GITHIOMI MWANGI
NYERI,493,JP,456949,7165,899,917,384638,264386,68.74,ENG EPHRAIM MWANGI MAINA KIRINYAGA
SAMBURU,1,JP,82787,924,279,284,62104,31262,50.34,STEVE LTUMBESI LELEGWE
SIAYA,8,ODM,457953,3579,886,916,366958,360837,98.33,JAMES AGGREY BOB ORENGO
TAITA TAVETA,1,ODM,155716,3409,338,354,107549,42160,39.2,JOHNES MWASHUSHE MWARUMA
TANA RIVER,0,JP,118327,348,143,307,37271,13118,35.2,GOLICH JUMA WARIO
THARAKA - NITHI,16,JP,213154,2103,588,625,163714,112826,68.92,KITHURE KINDIKI A K
TRANS NZOIA,20,JP,339622,5943,601,639,230816,67370,29.19,MICHAEL MALING'A MBITO
TURKANA,35,ODM,191435,2757,571,644,114743,63682,55.5,MALACHY CHARLES  EKAL IMANA
UASIN GISHU,45,JP,450055,4827,836,868,328498,221485,67.42,MARGARET JEPKOECH KAMAR
VIHIGA,5,ANC,272409,4472,522,548,190343,126659,66.54,KHANIRI GEORGE
WAJIR,11,JP,162902,3325,391,434,107745,30905,28.68,ABDULLAHI IBRAHIM ALI
WEST POKOT,1,KANU,180232,4508,676,712,143055,87454,61.13,SAMUEL LOSURON POGHISIO
